title,link,price
Benison India BPB55 30000 mAh Slim Fast Charging Power Bank - White,https://paytmmall.com/benison-india-bpb55-30000-mah-slim-fast-charging-power-bank-white-MOBBENISON-INDIBENI3871187BA6D4-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C3%7C%7C%7C%7C&get_review_id=332055955,"1,515"
Portronics POR-1110 10000 mAh Portable Power Bank - White,https://paytmmall.com/portronics-power-pro-10k-10000-mah-portable-power-bank-white-MOBPORTRONICS-PPORT23204FEEBE21B-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C4%7C%7C%7C%7C&get_review_id=334070467,599
HAMINE 13000 mAh Power Bank - Brown,https://paytmmall.com/hamine-aj-leather-look-fast-charge-13000-mah-power-bank-brown-MOBHAMINE-AJ-LEGADG759842CD1EC396-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C5%7C%7C%7C%7C&get_review_id=190875253,449
CallOne COPB-30 30000 mAh Portable Power Bank - White,https://paytmmall.com/callone-copb-30-30000-mah-portable-power-bank-white-MOBCALLONE-GRANCALL234577371DAD5-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C6%7C%7C%7C%7C&get_review_id=331279995,"1,179"
Ambrane Neos 20000 mAh Fast Charging Power Bank - Black,https://paytmmall.com/ambrane-neos-20000-mah-fast-charging-power-bank-black-MOBAMBRANE-NEOSBJ-I5861267E6DE3A4-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C7%7C%7C%7C%7C&get_review_id=333766404,"1,299"
Syska Power Pro 200 20000 mAh Portable Power Bank - White,https://paytmmall.com/syska-power-pro-200-20000mah-white-CMPLXMOBSYSKA-POWER-DUMM141C644444-pdp?product_id=113107620&sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C8%7C%7C%7C%7C&get_review_id=113107682,"1,399"
Coolnut CMPBAND-53 20000 mAh Power Bank - Black,https://paytmmall.com/coolnut-cmpband-53-20000-mah-power-bank-black-CMPLXMOBCOOLNUT-CMPBF-EY172156E43C2ACD-pdp?product_id=228159347&sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C9%7C%7C%7C%7C&get_review_id=228159349,"1,599"
INTEX IT-PB12K Poly-01 12000 mAh Portable Fast Charging Power Bank - White,https://paytmmall.com/intex-it-pb12k-poly-01-12000-mah-portable-fast-charging-power-bank-white-MOBINTEX-12000-CELE212469F8612D3-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C10%7C%7C%7C%7C&get_review_id=332467570,"1,199"
Gizmobitz GB/Gecko/Black 2600 mAh Portable Fast Charging Power Bank - Black,https://paytmmall.com/gizmobitz-gb-gecko-black-2600-mah-portable-fast-charging-power-bank-black-MOBGIZMOBITZ-26WEAR729415F7760D41-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C11%7C%7C%7C%7C&get_review_id=333576120,299
PB-Hefty M6 13000 mAh Portable Power Bank - White,https://paytmmall.com/pb-hefty-m6-30000-mah-portable-power-bank-white-MOBPB-HEFTY-M6-R-K-114744552C7DD50-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C12%7C%7C%7C%7C&get_review_id=333791910,429
FluSun india R3 2600mAh (Blue) 2600 mAh Portable Power Bank - Blue,https://paytmmall.com/flusun-india-r3-2600mah-blue-2600-mah-portable-power-bank-blue-MOBFLUSUN-INDIASKER5587837C2323C1-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C13%7C%7C%7C%7C&get_review_id=333942086,235
Tiitan P20 20000 mAh Portable Power Bank - Black,https://paytmmall.com/tiitan-p20-20000-mah-portable-power-bank-red-MOBTIITAN-20000TITA1164991C7BBEBA4-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C14%7C%7C%7C%7C&get_review_id=331062950,849
Zebronics 20000 mAh  Power Bank - Black,https://paytmmall.com/zebronics-20000-mah-power-bank-black-MOBZEBRONICS-ZEGRAV712019B2160531-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C15%7C%7C%7C%7C&get_review_id=337530331,999
HAMINE M5 13000 mAh Portable Power Bank - White,https://paytmmall.com/hamine-m5-30000-mah-portable-power-bank-white-MOBHAMINE-M5-30GADG75984248503EFE-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C16%7C%7C%7C%7C&get_review_id=332592111,479
Ambrane PP-111 10000 mAh Portable Power Bank - Black,https://paytmmall.com/ambrane-portablec-10000-mah-power-back-black-MOBAMBRANE-PORTBJ-I58612676B0C4AD-pdp?sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C17%7C%7C%7C%7C&get_review_id=251067310,699
Syska Power Boost100 10000 mAh Power Bank - White,https://paytmmall.com/syska-power-boost-100-10000-mah-power-bank-white-lithium-ion-CMPLXMOBSYSKA-POWER-DUMM1418470A1FC-pdp?product_id=326027509&sid=888d3838-dc24-439e-aaee-b26232809093&src=consumer_search&svc=-1&cid=6451&tracker=%7C%7C%7C%7C%2Fshop%2Fg%2Fmobile-accessories%2Fmobile-accessories%2Fpower-banks%2Fpower-bank-20000-mah-and-above-slpid%7C6451%7C18%7C%7C%7C%7C&get_review_id=113506095,690
